PDB_code,Ligand_ID,Chain
5TGZ,,
5ZTY,,
6LU7,,
4NPT,,
1M17,,
4HJO,,
2HYY,,
3PBL,,
6A93,,
6CM4,,
1A52 ,,
2AMA,,
1KE5,,
1KE6,,
3ML5,,
8J46,,
3H6S,,
4TRO,,
3FXI,,
